Entity,Year,Poverty_Index,gdp_growth,gdp_per_capita
Ireland,2011,0.2955543455578972,1.068526654,52108.83323
Ireland,2012,0.27808579905473957,-0.052354785,49028.82739
Ireland,2013,0.29221081656687536,1.267014661,51518.3881
Ireland,2014,0.31501565027570927,8.713697808,55525.89725
Ireland,2015,0.3518423039438097,25.17624519,61987.551
Ireland,2016,0.3562608430330556,2.042232527,62818.96636
Ireland,2017,0.3947857865220691,8.940012772,69601.68388
Ireland,2018,0.44843792141284744,9.0301611,79068.97461
Ireland,2019,0.4586863575583161,4.917006978,80886.61574
Ireland,2020,0.4835262973400448,5.866975509,85267.76474
Israel,2010,0.1747427877300105,5.684707293,30780.02382
Israel,2011,0.19171637331604247,5.542590001,33775.512
Israel,2012,0.18540343789903935,2.822996205,32667.60687
Israel,2013,0.20714322672095356,4.777202349,36499.45611
Israel,2014,0.21477515488719906,4.124746861,37847.64994
Israel,2015,0.2031955881808052,2.279679419,35808.43643
Israel,2016,0.21184740628063065,4.462753818,37330.2618
Israel,2017,0.23136266703993788,4.377044428,40774.12961
Israel,2018,0.23866425717866563,3.983424594,42063.45313
Israel,2019,0.2493597021688057,3.77358981,43951.24773
Israel,2020,0.25051829364435024,-2.153428489,44168.94364
Italy,2010,0.20427694816094297,1.713295839,36000.52012
Italy,2011,0.21899010243886782,0.707333347,38599.06221
Italy,2012,0.19885087853250386,-2.980905768,35053.52624
Italy,2013,0.201678684775087,-1.841065451,35549.9747
Italy,2014,0.20152310447273672,-0.004547542,35518.41529
Italy,2015,0.17156493551633717,0.778304351,30230.2263
Italy,2016,0.1755921193719099,1.293462732,30939.71425
Italy,2017,0.18345674354183547,1.667859041,32326.67421
Italy,2018,0.1963600692631721,0.925810941,34605.26273
Italy,2019,0.19089266730776375,0.410278294,33641.63375
Italy,2020,0.17985160968323546,-8.9385925,31714.22095
Latvia,2010,0.0649068002423323,-4.470941885,11420.994
Latvia,2011,0.07586502644940261,2.564422968,13338.96224
Latvia,2012,0.07880264982233824,7.037317185,13847.33794
Latvia,2013,0.08531354405970544,2.010744815,15007.49186
Latvia,2014,0.08935814542341455,1.900096243,15721.45233
Latvia,2015,0.07838628822505242,3.885027277,13780.91355
Latvia,2016,0.0814335216559304,2.367609543,14322.02268
Latvia,2017,0.08900709814091239,3.31308889,15656.34749
Latvia,2018,0.101482804999808,3.989480387,17856.30712
Latvia,2019,0.10186345434309903,2.484326355,17926.84159
Latvia,2020,0.10064940546281839,-3.618565992,17726.25294
Lithuania,2010,0.06819478923132985,1.651240653,11987.50841
Lithuania,2011,0.08179129386565355,6.03900816,14376.94786
Lithuania,2012,0.08171113003296797,3.843864749,14367.70942
Lithuania,2013,0.08942551864114853,3.550072843,15729.65247
Lithuania,2014,0.09408002027066172,3.537009879,16551.0182
Lithuania,2015,0.08106766000302273,2.024583955,14258.22933
Lithuania,2016,0.08526689933103533,2.518828273,14998.12506
Lithuania,2017,0.09574808726373468,4.282596951,16843.69965
Lithuania,2018,0.1089661354759901,3.993310328,19176.81215
Lithuania,2019,0.11123436866391238,4.573771737,19575.76848
Lithuania,2020,0.11490290249559602,-0.132431461,20233.64135
Luxembourg,2010,0.628065203787482,3.760413593,110777.9079
Luxembourg,2011,0.67388458960529,1.044298695,118869.2999
Luxembourg,2012,0.6383138901400396,1.64990203,112591.1162
Luxembourg,2013,0.680126722870268,3.171790499,119966.0349
Luxembourg,2014,0.7002271505161201,2.623086016,123514.1967
Luxembourg,2015,0.5976809180289078,2.269784484,105419.6085
Luxembourg,2016,0.605689345934473,4.978190437,106826.7264
Luxembourg,2017,0.6231783450419964,1.317187663,109921.0314
Luxembourg,2018,0.6644225842474267,2.00437712,117197.4817
Luxembourg,2019,0.6418911729150738,3.283806756,113218.7133
Luxembourg,2020,0.657671330066918,-1.776240229,116014.6025
Malta,2010,0.12384666247624838,5.543639385,21799.17426
Malta,2011,0.13146893629069875,0.467050856,23155.55479
Malta,2012,0.1279567836195401,4.117707299,22527.63676
Malta,2013,0.14068749739405295,5.473355695,24771.07658
Malta,2014,0.15195358243148158,7.633538112,26754.26845
Malta,2015,0.14159291466143045,9.608132811,24921.60368
Malta,2016,0.14616905273263534,4.090917429,25741.44606
Malta,2017,0.1604399802529001,8.119425289,28250.69777
Malta,2018,0.17412587066807855,5.179224796,30672.29224
Malta,2019,0.17137573550838825,5.539566337,30186.19596
Malta,2020,0.15817399386430248,-7.001129615,27884.64283
Montenegro,2010,0.03817901069550376,2.734331082,6688.4824
Montenegro,2011,0.04181469016706387,3.228451021,7328.932252
Montenegro,2012,0.03753318436080054,-2.723790771,6586.721279
Montenegro,2013,0.04101119156344796,3.548979912,7186.429787
Montenegro,2014,0.042076409883188,1.783698581,7378.345289
Montenegro,2015,0.03720007828285104,3.390381397,6514.272695
